58.7 4.13 4.24 4.41 5.01 5.61 5.78 5.89
58.8 4.14 4.25 4.42 5.03 5.63 5.8 5.92
58.900000000000006 4.15 4.26 4.44 5.05 5.65 5.83 5.94
59 4.17 4.28 4.45 5.06 5.68 5.85 5.96
59.1 4.18 4.29 4.47 5.08 5.7 5.87 5.98
59.2 4.19 4.31 4.48 5.1 5.72 5.89 6.01
59.3 4.21 4.32 4.5 5.12 5.74 5.92 6.03
59.400000000000006 4.22 4.33 4.51 5.14 5.76 5.94 6.05
59.5 4.23 4.35 4.53 5.15 5.78 5.96 6.08
59.6 4.25 4.36 4.54 5.17 5.8 5.98 6.1
59.7 4.26 4.38 4.56 5.19 5.82 6 6.12
59.8 4.27 4.39 4.57 5.21 5.85 6.03 6.14
59.900000000000006 4.29 4.4 4.59 5.23 5.87 6.05 6.17
60 4.3 4.42 4.6 5.24 5.89 6.07 6.19
60.1 4.31 4.43 4.61 5.26 5.91 6.09 6.21
60.2 4.33 4.44 4.63 5.28 5.93 6.12 6.24
60.3 4.34 4.46 4.64 5.3 5.95 6.14 6.26
60.400000000000006 4.35 4.47 4.66 5.32 5.97 6.16 6.28
60.5 4.36 4.49 4.67 5.33 6 6.18 6.31
60.6 4.38 4.5 4.69 5.35 6.02 6.21 6.33
60.7 4.39 4.51 4.7 5.37 6.04 6.23 6.35
60.8 4.4 4.53 4.72 5.39 6.06 6.25 6.37
60.900000000000006 4.42 4.54 4.73 5.41 6.08 6.27 6.4
61 4.43 4.55 4.75 5.42 6.1 6.3 6.42
61.1 4.44 4.57 4.76 5.44 6.12 6.32 6.44
61.2 4.45 4.58 4.77 5.46 6.15 6.34 6.47
61.3 4.47 4.59 4.79 5.48 6.17 6.36 6.49
61.400000000000006 4.48 4.61 4.8 5.5 6.19 6.38 6.51
61.5 4.49 4.62 4.82 5.51 6.21 6.41 6.54
61.6 4.5 4.63 4.83 5.53 6.23 6.43 6.56
61.7 4.52 4.65 4.85 5.55 6.25 6.45 6.58
61.8 4.53 4.66 4.86 5.57 6.27 6.47 6.61
61.900000000000006 4.54 4.67 4.87 5.58 6.3 6.5 6.63
62 4.55 4.68 4.89 5.6 6.32 6.52 6.65
62.1 4.57 4.7 4.9 5.62 6.34 6.54 6.67
62.2 4.58 4.71 4.92 5.64 6.36 6.56 6.7
62.3 4.59 4.72 4.93 5.66 6.38 6.59 6.72
62.400000000000006 4.6 4.74 4.94 5.67 6.4 6.61 6.74
62.5 4.61 4.75 4.96 5.69 6.42 6.63 6.77
62.6 4.63 4.76 4.97 5.71 6.45 6.66 6.79
62.7 4.64 4.77 4.98 5.73 6.47 6.68 6.81
62.8 4.65 4.79 5 5.74 6.49 6.7 6.84
62.900000000000006 4.66 4.8 5.01 5.76 6.51 6.72 6.86
63 4.67 4.81 5.03 5.78 6.53 6.75 6.88
63.1 4.69 4.82 5.04 5.8 6.55 6.77 6.91
63.2 4.7 4.84 5.05 5.81 6.58 6.79 6.93
63.3 4.71 4.85 5.07 5.83 6.6 6.81 6.95
63.400000000000006 4.72 4.86 5.08 5.85 6.62 6.84 6.98
63.5 4.73 4.87 5.09 5.87 6.64 6.86 7
63.6 4.74 4.89 5.11 5.88 6.66 6.88 7.03
63.7 4.76 4.9 5.12 5.9 6.68 6.9 7.05
63.8 4.77 4.91 5.13 5.92 6.7 6.93 7.07
63.900000000000006 4.78 4.92 5.15 5.94 6.73 6.95 7.1
64 4.79 4.94 5.16 5.95 6.75 6.97 7.12
64.1 4.8 4.95 5.17 5.97 6.77 7 7.14
64.2 4.81 4.96 5.19 5.99 6.79 7.02 7.17
64.3 4.82 4.97 5.2 6.01 6.81 7.04 7.19
64.4 4.84 4.98 5.21 6.02 6.83 7.06 7.21
64.5 4.85 5 5.23 6.04 6.86 7.09 7.24
64.6 4.86 5.01 5.24 6.06 6.88 7.11 7.26
64.7 4.87 5.02 5.25 6.08 6.9 7.13 7.28
64.8 4.88 5.03 5.27 6.09 6.92 7.16 7.31
64.9 4.89 5.04 5.28 6.11 6.94 7.18 7.33
65 4.9 5.06 5.29 6.13 6.96 7.2 7.36
